№	Code	Browser	Sample	Sample Fallback	CLDR Short Name
874	U+1F468 U+1F3FB U+200D U+1F9BC	👨🏻‍🦼	👨🏻‍🦼	👨🏻 🦼	man in motorized wheelchair: light skin tone
875	U+1F468 U+1F3FC U+200D U+1F9BC	👨🏼‍🦼	👨🏼‍🦼	👨🏼 🦼	man in motorized wheelchair: medium-light skin tone
876	U+1F468 U+1F3FD U+200D U+1F9BC	👨🏽‍🦼	👨🏽‍🦼	👨🏽 🦼	man in motorized wheelchair: medium skin tone
877	U+1F468 U+1F3FE U+200D U+1F9BC	👨🏾‍🦼	👨🏾‍🦼	👨🏾 🦼	man in motorized wheelchair: medium-dark skin tone
878	U+1F468 U+1F3FF U+200D U+1F9BC	👨🏿‍🦼	👨🏿‍🦼	👨🏿 🦼	man in motorized wheelchair: dark skin tone
879	U+1F468 U+200D U+1F9BC U+200D U+27A1 U+FE0F	👨‍🦼‍➡️	👨‍🦼‍➡️	👨 🦼 ➡	man in motorized wheelchair facing right
880	U+1F468 U+1F3FB U+200D U+1F9BC U+200D U+27A1 U+FE0F	👨🏻‍🦼‍➡️	👨🏻‍🦼‍➡️	👨🏻 🦼 ➡	man in motorized wheelchair facing right: light skin tone
881	U+1F468 U+1F3FC U+200D U+1F9BC U+200D U+27A1 U+FE0F	👨🏼‍🦼‍➡️	👨🏼‍🦼‍➡️	👨🏼 🦼 ➡	man in motorized wheelchair facing right: medium-light skin tone
882	U+1F468 U+1F3FD U+200D U+1F9BC U+200D U+27A1 U+FE0F	👨🏽‍🦼‍➡️	👨🏽‍🦼‍➡️	👨🏽 🦼 ➡	man in motorized wheelchair facing right: medium skin tone
883	U+1F468 U+1F3FE U+200D U+1F9BC U+200D U+27A1 U+FE0F	👨🏾‍🦼‍➡️	👨🏾‍🦼‍➡️	👨🏾 🦼 ➡	man in motorized wheelchair facing right: medium-dark skin tone
884	U+1F468 U+1F3FF U+200D U+1F9BC U+200D U+27A1 U+FE0F	👨🏿‍🦼‍➡️	👨🏿‍🦼‍➡️	👨🏿 🦼 ➡	man in motorized wheelchair facing right: dark skin tone
885	U+1F469 U+200D U+1F9BC	👩‍🦼	👩‍🦼	👩 🦼	woman in motorized wheelchair
886	U+1F469 U+1F3FB U+200D U+1F9BC	👩🏻‍🦼	👩🏻‍🦼	👩🏻 🦼	woman in motorized wheelchair: light skin tone
887	U+1F469 U+1F3FC U+200D U+1F9BC	👩🏼‍🦼	👩🏼‍🦼	👩🏼 🦼	woman in motorized wheelchair: medium-light skin tone
888	U+1F469 U+1F3FD U+200D U+1F9BC	👩🏽‍🦼	👩🏽‍🦼	👩🏽 🦼	woman in motorized wheelchair: medium skin tone
889	U+1F469 U+1F3FE U+200D U+1F9BC	👩🏾‍🦼	👩🏾‍🦼	👩🏾 🦼	woman in motorized wheelchair: medium-dark skin tone
890	U+1F469 U+1F3FF U+200D U+1F9BC	👩🏿‍🦼	👩🏿‍🦼	👩🏿 🦼	woman in motorized wheelchair: dark skin tone
891	U+1F469 U+200D U+1F9BC U+200D U+27A1 U+FE0F	👩‍🦼‍➡️	👩‍🦼‍➡️	👩 🦼 ➡	woman in motorized wheelchair facing right
892	U+1F469 U+1F3FB U+200D U+1F9BC U+200D U+27A1 U+FE0F	👩🏻‍🦼‍➡️	👩🏻‍🦼‍➡️	👩🏻 🦼 ➡	woman in motorized wheelchair facing right: light skin tone
893	U+1F469 U+1F3FC U+200D U+1F9BC U+200D U+27A1 U+FE0F	👩🏼‍🦼‍➡️	👩🏼‍🦼‍➡️	👩🏼 🦼 ➡	woman in motorized wheelchair facing right: medium-light skin tone
894	U+1F469 U+1F3FD U+200D U+1F9BC U+200D U+27A1 U+FE0F	👩🏽‍🦼‍➡️	👩🏽‍🦼‍➡️	👩🏽 🦼 ➡	woman in motorized wheelchair facing right: medium skin tone
895	U+1F469 U+1F3FE U+200D U+1F9BC U+200D U+27A1 U+FE0F	👩🏾‍🦼‍➡️	👩🏾‍🦼‍➡️	👩🏾 🦼 ➡	woman in motorized wheelchair facing right: medium-dark skin tone
896	U+1F469 U+1F3FF U+200D U+1F9BC U+200D U+27A1 U+FE0F	👩🏿‍🦼‍➡️	👩🏿‍🦼‍➡️	👩🏿 🦼 ➡	woman in motorized wheelchair facing right: dark skin tone
897	U+1F9D1 U+200D U+1F9BD	🧑‍🦽	🧑‍🦽	🧑 🦽	person in manual wheelchair
898	U+1F9D1 U+1F3FB U+200D U+1F9BD	🧑🏻‍🦽	🧑🏻‍🦽	🧑🏻 🦽	person in manual wheelchair: light skin tone
899	U+1F9D1 U+1F3FC U+200D U+1F9BD	🧑🏼‍🦽	🧑🏼‍🦽	🧑🏼 🦽	person in manual wheelchair: medium-light skin tone
900	U+1F9D1 U+1F3FD U+200D U+1F9BD	🧑🏽‍🦽	🧑🏽‍🦽	🧑🏽 🦽	person in manual wheelchair: medium skin tone
901	U+1F9D1 U+1F3FE U+200D U+1F9BD	🧑🏾‍🦽	🧑🏾‍🦽	🧑🏾 🦽	person in manual wheelchair: medium-dark skin tone
902	U+1F9D1 U+1F3FF U+200D U+1F9BD	🧑🏿‍🦽	🧑🏿‍🦽	🧑🏿 🦽	person in manual wheelchair: dark skin tone
903	U+1F9D1 U+200D U+1F9BD U+200D U+27A1 U+FE0F	🧑‍🦽‍➡️	🧑‍🦽‍➡️	🧑 🦽 ➡	person in manual wheelchair facing right
904	U+1F9D1 U+1F3FB U+200D U+1F9BD U+200D U+27A1 U+FE0F	🧑🏻‍🦽‍➡️	🧑🏻‍🦽‍➡️	🧑🏻 🦽 ➡	person in manual wheelchair facing right: light skin tone
905	U+1F9D1 U+1F3FC U+200D U+1F9BD U+200D U+27A1 U+FE0F	🧑🏼‍🦽‍➡️	🧑🏼‍🦽‍➡️	🧑🏼 🦽 ➡	person in manual wheelchair facing right: medium-light skin tone
906	U+1F9D1 U+1F3FD U+200D U+1F9BD U+200D U+27A1 U+FE0F	🧑🏽‍🦽‍➡️	🧑🏽‍🦽‍➡️	🧑🏽 🦽 ➡	person in manual wheelchair facing right: medium skin tone
907	U+1F9D1 U+1F3FE U+200D U+1F9BD U+200D U+27A1 U+FE0F	🧑🏾‍🦽‍➡️	🧑🏾‍🦽‍➡️	🧑🏾 🦽 ➡	person in manual wheelchair facing right: medium-dark skin tone
908	U+1F9D1 U+1F3FF U+200D U+1F9BD U+200D U+27A1 U+FE0F	🧑🏿‍🦽‍➡️	🧑🏿‍🦽‍➡️	🧑🏿 🦽 ➡	person in manual wheelchair facing right: dark skin tone
909	U+1F468 U+200D U+1F9BD	👨‍🦽	👨‍🦽	👨 🦽	man in manual wheelchair
910	U+1F468 U+1F3FB U+200D U+1F9BD	👨🏻‍🦽	👨🏻‍🦽	👨🏻 🦽	man in manual wheelchair: light skin tone
911	U+1F468 U+1F3FC U+200D U+1F9BD	👨🏼‍🦽	👨🏼‍🦽	👨🏼 🦽	man in manual wheelchair: medium-light skin tone
912	U+1F468 U+1F3FD U+200D U+1F9BD	👨🏽‍🦽	👨🏽‍🦽	👨🏽 🦽	man in manual wheelchair: medium skin tone
913	U+1F468 U+1F3FE U+200D U+1F9BD	👨🏾‍🦽	👨🏾‍🦽	👨🏾 🦽	man in manual wheelchair: medium-dark skin tone
914	U+1F468 U+1F3FF U+200D U+1F9BD	👨🏿‍🦽	👨🏿‍🦽	👨🏿 🦽	man in manual wheelchair: dark skin tone
915	U+1F468 U+200D U+1F9BD U+200D U+27A1 U+FE0F	👨‍🦽‍➡️	👨‍🦽‍➡️	👨 🦽 ➡	man in manual wheelchair facing right
916	U+1F468 U+1F3FB U+200D U+1F9BD U+200D U+27A1 U+FE0F	👨🏻‍🦽‍➡️	👨🏻‍🦽‍➡️	👨🏻 🦽 ➡	man in manual wheelchair facing right: light skin tone
917	U+1F468 U+1F3FC U+200D U+1F9BD U+200D U+27A1 U+FE0F	👨🏼‍🦽‍➡️	👨🏼‍🦽‍➡️	👨🏼 🦽 ➡	man in manual wheelchair facing right: medium-light skin tone
918	U+1F468 U+1F3FD U+200D U+1F9BD U+200D U+27A1 U+FE0F	👨🏽‍🦽‍➡️	👨🏽‍🦽‍➡️	👨🏽 🦽 ➡	man in manual wheelchair facing right: medium skin tone
919	U+1F468 U+1F3FE U+200D U+1F9BD U+200D U+27A1 U+FE0F	👨🏾‍🦽‍➡️	👨🏾‍🦽‍➡️	👨🏾 🦽 ➡	man in manual wheelchair facing right: medium-dark skin tone
920	U+1F468 U+1F3FF U+200D U+1F9BD U+200D U+27A1 U+FE0F	👨🏿‍🦽‍➡️	👨🏿‍🦽‍➡️	👨🏿 🦽 ➡	man in manual wheelchair facing right: dark skin tone
921	U+1F469 U+200D U+1F9BD	👩‍🦽	👩‍🦽	👩 🦽	woman in manual wheelchair
922	U+1F469 U+1F3FB U+200D U+1F9BD	👩🏻‍🦽	👩🏻‍🦽	👩🏻 🦽	woman in manual wheelchair: light skin tone
923	U+1F469 U+1F3FC U+200D U+1F9BD	👩🏼‍🦽	👩🏼‍🦽	👩🏼 🦽	woman in manual wheelchair: medium-light skin tone
924	U+1F469 U+1F3FD U+200D U+1F9BD	👩🏽‍🦽	👩🏽‍🦽	👩🏽 🦽	woman in manual wheelchair: medium skin tone
925	U+1F469 U+1F3FE U+200D U+1F9BD	👩🏾‍🦽	👩🏾‍🦽	👩🏾 🦽	woman in manual wheelchair: medium-dark skin tone
926	U+1F469 U+1F3FF U+200D U+1F9BD	👩🏿‍🦽	👩🏿‍🦽	👩🏿 🦽	woman in manual wheelchair: dark skin tone
927	U+1F469 U+200D U+1F9BD U+200D U+27A1 U+FE0F	👩‍🦽‍➡️	👩‍🦽‍➡️	👩 🦽 ➡	woman in manual wheelchair facing right
928	U+1F469 U+1F3FB U+200D U+1F9BD U+200D U+27A1 U+FE0F	👩🏻‍🦽‍➡️	👩🏻‍🦽‍➡️	👩🏻 🦽 ➡	woman in manual wheelchair facing right: light skin tone
929	U+1F469 U+1F3FC U+200D U+1F9BD U+200D U+27A1 U+FE0F	👩🏼‍🦽‍➡️	👩🏼‍🦽‍➡️	👩🏼 🦽 ➡	woman in manual wheelchair facing right: medium-light skin tone
930	U+1F469 U+1F3FD U+200D U+1F9BD U+200D U+27A1 U+FE0F	👩🏽‍🦽‍➡️	👩🏽‍🦽‍➡️	👩🏽 🦽 ➡	woman in manual wheelchair facing right: medium skin tone
931	U+1F469 U+1F3FE U+200D U+1F9BD U+200D U+27A1 U+FE0F	👩🏾‍🦽‍➡️	👩🏾‍🦽‍➡️	👩🏾 🦽 ➡	woman in manual wheelchair facing right: medium-dark skin tone
932	U+1F469 U+1F3FF U+200D U+1F9BD U+200D U+27A1 U+FE0F	👩🏿‍🦽‍➡️	👩🏿‍🦽‍➡️	👩🏿 🦽 ➡	woman in manual wheelchair facing right: dark skin tone
933	U+1F3C3 U+200D U+2642 U+FE0F	🏃‍♂️	🏃‍♂️	🏃 ♂	man running
934	U+1F3C3 U+1F3FB U+200D U+2642 U+FE0F	🏃🏻‍♂️	🏃🏻‍♂️	🏃🏻 ♂	man running: light skin tone
935	U+1F3C3 U+1F3FC U+200D U+2642 U+FE0F	🏃🏼‍♂️	🏃🏼‍♂️	🏃🏼 ♂	man running: medium-light skin tone
936	U+1F3C3 U+1F3FD U+200D U+2642 U+FE0F	🏃🏽‍♂️	🏃🏽‍♂️	🏃🏽 ♂	man running: medium skin tone
937	U+1F3C3 U+1F3FE U+200D U+2642 U+FE0F	🏃🏾‍♂️	🏃🏾‍♂️	🏃🏾 ♂	man running: medium-dark skin tone
938	U+1F3C3 U+1F3FF U+200D U+2642 U+FE0F	🏃🏿‍♂️	🏃🏿‍♂️	🏃🏿 ♂	man running: dark skin tone
939	U+1F3C3 U+200D U+2640 U+FE0F	🏃‍♀️	🏃‍♀️	🏃 ♀	woman running
940	U+1F3C3 U+1F3FB U+200D U+2640 U+FE0F	🏃🏻‍♀️	🏃🏻‍♀️	🏃🏻 ♀	woman running: light skin tone
941	U+1F3C3 U+1F3FC U+200D U+2640 U+FE0F	🏃🏼‍♀️	🏃🏼‍♀️	🏃🏼 ♀	woman running: medium-light skin tone
942	U+1F3C3 U+1F3FD U+200D U+2640 U+FE0F	🏃🏽‍♀️	🏃🏽‍♀️	🏃🏽 ♀	woman running: medium skin tone
943	U+1F3C3 U+1F3FE U+200D U+2640 U+FE0F	🏃🏾‍♀️	🏃🏾‍♀️	🏃🏾 ♀	woman running: medium-dark skin tone
944	U+1F3C3 U+1F3FF U+200D U+2640 U+FE0F	🏃🏿‍♀️	🏃🏿‍♀️	🏃🏿 ♀	woman running: dark skin tone
945	U+1F3C3 U+200D U+27A1 U+FE0F	🏃‍➡️	🏃‍➡️	🏃 ➡	person running facing right
946	U+1F3C3 U+1F3FB U+200D U+27A1 U+FE0F	🏃🏻‍➡️	🏃🏻‍➡️	🏃🏻 ➡	person running facing right: light skin tone
947	U+1F3C3 U+1F3FC U+200D U+27A1 U+FE0F	🏃🏼‍➡️	🏃🏼‍➡️	🏃🏼 ➡	person running facing right: medium-light skin tone
948	U+1F3C3 U+1F3FD U+200D U+27A1 U+FE0F	🏃🏽‍➡️	🏃🏽‍➡️	🏃🏽 ➡	person running facing right: medium skin tone
949	U+1F3C3 U+1F3FE U+200D U+27A1 U+FE0F	🏃🏾‍➡️	🏃🏾‍➡️	🏃🏾 ➡	person running facing right: medium-dark skin tone
950	U+1F3C3 U+1F3FF U+200D U+27A1 U+FE0F	🏃🏿‍➡️	🏃🏿‍➡️	🏃🏿 ➡	person running facing right: dark skin tone
951	U+1F3C3 U+200D U+2640 U+FE0F U+200D U+27A1 U+FE0F	🏃‍♀️‍➡️	🏃‍♀️‍➡️	🏃 ♀ ➡	woman running facing right
952	U+1F3C3 U+1F3FB U+200D U+2640 U+FE0F U+200D U+27A1 U+FE0F	🏃🏻‍♀️‍➡️	🏃🏻‍♀️‍➡️	🏃🏻 ♀ ➡	woman running facing right: light skin tone
953	U+1F3C3 U+1F3FC U+200D U+2640 U+FE0F U+200D U+27A1 U+FE0F	🏃🏼‍♀️‍➡️	🏃🏼‍♀️‍➡️	🏃🏼 ♀ ➡	woman running facing right: medium-light skin tone
954	U+1F3C3 U+1F3FD U+200D U+2640 U+FE0F U+200D U+27A1 U+FE0F	🏃🏽‍♀️‍➡️	🏃🏽‍♀️‍➡️	🏃🏽 ♀ ➡	woman running facing right: medium skin tone
955	U+1F3C3 U+1F3FE U+200D U+2640 U+FE0F U+200D U+27A1 U+FE0F	🏃🏾‍♀️‍➡️	🏃🏾‍♀️‍➡️	🏃🏾 ♀ ➡	woman running facing right: medium-dark skin tone
956	U+1F3C3 U+1F3FF U+200D U+2640 U+FE0F U+200D U+27A1 U+FE0F	🏃🏿‍♀️‍➡️	🏃🏿‍♀️‍➡️	🏃🏿 ♀ ➡	woman running facing right: dark skin tone
957	U+1F3C3 U+200D U+2642 U+FE0F U+200D U+27A1 U+FE0F	🏃‍♂️‍➡️	🏃‍♂️‍➡️	🏃 ♂ ➡	man running facing right
958	U+1F3C3 U+1F3FB U+200D U+2642 U+FE0F U+200D U+27A1 U+FE0F	🏃🏻‍♂️‍➡️	🏃🏻‍♂️‍➡️	🏃🏻 ♂ ➡	man running facing right: light skin tone
959	U+1F3C3 U+1F3FC U+200D U+2642 U+FE0F U+200D U+27A1 U+FE0F	🏃🏼‍♂️‍➡️	🏃🏼‍♂️‍➡️	🏃🏼 ♂ ➡	man running facing right: medium-light skin tone
960	U+1F3C3 U+1F3FD U+200D U+2642 U+FE0F U+200D U+27A1 U+FE0F	🏃🏽‍♂️‍➡️	🏃🏽‍♂️‍➡️	🏃🏽 ♂ ➡	man running facing right: medium skin tone
961	U+1F3C3 U+1F3FE U+200D U+2642 U+FE0F U+200D U+27A1 U+FE0F	🏃🏾‍♂️‍➡️	🏃🏾‍♂️‍➡️	🏃🏾 ♂ ➡	man running facing right: medium-dark skin tone
962	U+1F3C3 U+1F3FF U+200D U+2642 U+FE0F U+200D U+27A1 U+FE0F	🏃🏿‍♂️‍➡️	🏃🏿‍♂️‍➡️	🏃🏿 ♂ ➡	man running facing right: dark skin tone
963	U+1F46F U+200D U+2642 U+FE0F	👯‍♂️	👯‍♂️	👯 ♂	men with bunny ears
964	U+1F46F U+200D U+2640 U+FE0F	👯‍♀️	👯‍♀️	👯 ♀	women with bunny ears
965	U+1F9D6 U+200D U+2642 U+FE0F	🧖‍♂️	🧖‍♂️	🧖 ♂	man in steamy room
966	U+1F9D6 U+1F3FB U+200D U+2642 U+FE0F	🧖🏻‍♂️	🧖🏻‍♂️	🧖🏻 ♂	man in steamy room: light skin tone
967	U+1F9D6 U+1F3FC U+200D U+2642 U+FE0F	🧖🏼‍♂️	🧖🏼‍♂️	🧖🏼 ♂	man in steamy room: medium-light skin tone
968	U+1F9D6 U+1F3FD U+200D U+2642 U+FE0F	🧖🏽‍♂️	🧖🏽‍♂️	🧖🏽 ♂	man in steamy room: medium skin tone
969	U+1F9D6 U+1F3FE U+200D U+2642 U+FE0F	🧖🏾‍♂️	🧖🏾‍♂️	🧖🏾 ♂	man in steamy room: medium-dark skin tone
970	U+1F9D6 U+1F3FF U+200D U+2642 U+FE0F	🧖🏿‍♂️	🧖🏿‍♂️	🧖🏿 ♂	man in steamy room: dark skin tone
971	U+1F9D6 U+200D U+2640 U+FE0F	🧖‍♀️	🧖‍♀️	🧖 ♀	woman in steamy room
972	U+1F9D6 U+1F3FB U+200D U+2640 U+FE0F	🧖🏻‍♀️	🧖🏻‍♀️	🧖🏻 ♀	woman in steamy room: light skin tone
973	U+1F9D6 U+1F3FC U+200D U+2640 U+FE0F	🧖🏼‍♀️	🧖🏼‍♀️	🧖🏼 ♀	woman in steamy room: medium-light skin tone
974	U+1F9D6 U+1F3FD U+200D U+2640 U+FE0F	🧖🏽‍♀️	🧖🏽‍♀️	🧖🏽 ♀	woman in steamy room: medium skin tone
975	U+1F9D6 U+1F3FE U+200D U+2640 U+FE0F	🧖🏾‍♀️	🧖🏾‍♀️	🧖🏾 ♀	woman in steamy room: medium-dark skin tone
976	U+1F9D6 U+1F3FF U+200D U+2640 U+FE0F	🧖🏿‍♀️	🧖🏿‍♀️	🧖🏿 ♀	woman in steamy room: dark skin tone
977	U+1F9D7 U+200D U+2642 U+FE0F	🧗‍♂️	🧗‍♂️	🧗 ♂	man climbing
978	U+1F9D7 U+1F3FB U+200D U+2642 U+FE0F	🧗🏻‍♂️	🧗🏻‍♂️	🧗🏻 ♂	man climbing: light skin tone
979	U+1F9D7 U+1F3FC U+200D U+2642 U+FE0F	🧗🏼‍♂️	🧗🏼‍♂️	🧗🏼 ♂	man climbing: medium-light skin tone
980	U+1F9D7 U+1F3FD U+200D U+2642 U+FE0F	🧗🏽‍♂️	🧗🏽‍♂️	🧗🏽 ♂	man climbing: medium skin tone
981	U+1F9D7 U+1F3FE U+200D U+2642 U+FE0F	🧗🏾‍♂️	🧗🏾‍♂️	🧗🏾 ♂	man climbing: medium-dark skin tone
982	U+1F9D7 U+1F3FF U+200D U+2642 U+FE0F	🧗🏿‍♂️	🧗🏿‍♂️	🧗🏿 ♂	man climbing: dark skin tone
983	U+1F9D7 U+200D U+2640 U+FE0F	🧗‍♀️	🧗‍♀️	🧗 ♀	woman climbing
984	U+1F9D7 U+1F3FB U+200D U+2640 U+FE0F	🧗🏻‍♀️	🧗🏻‍♀️	🧗🏻 ♀	woman climbing: light skin tone
985	U+1F9D7 U+1F3FC U+200D U+2640 U+FE0F	🧗🏼‍♀️	🧗🏼‍♀️	🧗🏼 ♀	woman climbing: medium-light skin tone
986	U+1F9D7 U+1F3FD U+200D U+2640 U+FE0F	🧗🏽‍♀️	🧗🏽‍♀️	🧗🏽 ♀	woman climbing: medium skin tone
987	U+1F9D7 U+1F3FE U+200D U+2640 U+FE0F	🧗🏾‍♀️	🧗🏾‍♀️	🧗🏾 ♀	woman climbing: medium-dark skin tone
988	U+1F9D7 U+1F3FF U+200D U+2640 U+FE0F	🧗🏿‍♀️	🧗🏿‍♀️	🧗🏿 ♀	woman climbing: dark skin tone
989	U+1F3CC U+FE0F U+200D U+2642 U+FE0F	🏌️‍♂️	🏌️‍♂️	🏌 ♂	man golfing
990	U+1F3CC U+1F3FB U+200D U+2642 U+FE0F	🏌🏻‍♂️	🏌🏻‍♂️	🏌🏻 ♂	man golfing: light skin tone
991	U+1F3CC U+1F3FC U+200D U+2642 U+FE0F	🏌🏼‍♂️	🏌🏼‍♂️	🏌🏼 ♂	man golfing: medium-light skin tone
992	U+1F3CC U+1F3FD U+200D U+2642 U+FE0F	🏌🏽‍♂️	🏌🏽‍♂️	🏌🏽 ♂	man golfing: medium skin tone
993	U+1F3CC U+1F3FE U+200D U+2642 U+FE0F	🏌🏾‍♂️	🏌🏾‍♂️	🏌🏾 ♂	man golfing: medium-dark skin tone
994	U+1F3CC U+1F3FF U+200D U+2642 U+FE0F	🏌🏿‍♂️	🏌🏿‍♂️	🏌🏿 ♂	man golfing: dark skin tone
995	U+1F3CC U+FE0F U+200D U+2640 U+FE0F	🏌️‍♀️	🏌️‍♀️	🏌 ♀	woman golfing
996	U+1F3CC U+1F3FB U+200D U+2640 U+FE0F	🏌🏻‍♀️	🏌🏻‍♀️	🏌🏻 ♀	woman golfing: light skin tone
997	U+1F3CC U+1F3FC U+200D U+2640 U+FE0F	🏌🏼‍♀️	🏌🏼‍♀️	🏌🏼 ♀	woman golfing: medium-light skin tone
998	U+1F3CC U+1F3FD U+200D U+2640 U+FE0F	🏌🏽‍♀️	🏌🏽‍♀️	🏌🏽 ♀	woman golfing: medium skin tone
999	U+1F3CC U+1F3FE U+200D U+2640 U+FE0F	🏌🏾‍♀️	🏌🏾‍♀️	🏌🏾 ♀	woman golfing: medium-dark skin tone
1000	U+1F3CC U+1F3FF U+200D U+2640 U+FE0F	🏌🏿‍♀️	🏌🏿‍♀️	🏌🏿 ♀	woman golfing: dark skin tone
1001	U+1F3C4 U+200D U+2642 U+FE0F	🏄‍♂️	🏄‍♂️	🏄 ♂	man surfing
1002	U+1F3C4 U+1F3FB U+200D U+2642 U+FE0F	🏄🏻‍♂️	🏄🏻‍♂️	🏄🏻 ♂	man surfing: light skin tone
1003	U+1F3C4 U+1F3FC U+200D U+2642 U+FE0F	🏄🏼‍♂️	🏄🏼‍♂️	🏄🏼 ♂	man surfing: medium-light skin tone
1004	U+1F3C4 U+1F3FD U+200D U+2642 U+FE0F	🏄🏽‍♂️	🏄🏽‍♂️	🏄🏽 ♂	man surfing: medium skin tone
1005	U+1F3C4 U+1F3FE U+200D U+2642 U+FE0F	🏄🏾‍♂️	🏄🏾‍♂️	🏄🏾 ♂	man surfing: medium-dark skin tone
1006	U+1F3C4 U+1F3FF U+200D U+2642 U+FE0F	🏄🏿‍♂️	🏄🏿‍♂️	🏄🏿 ♂	man surfing: dark skin tone
1007	U+1F3C4 U+200D U+2640 U+FE0F	🏄‍♀️	🏄‍♀️	🏄 ♀	woman surfing
1008	U+1F3C4 U+1F3FB U+200D U+2640 U+FE0F	🏄🏻‍♀️	🏄🏻‍♀️	🏄🏻 ♀	woman surfing: light skin tone
1009	U+1F3C4 U+1F3FC U+200D U+2640 U+FE0F	🏄🏼‍♀️	🏄🏼‍♀️	🏄🏼 ♀	woman surfing: medium-light skin tone
1010	U+1F3C4 U+1F3FD U+200D U+2640 U+FE0F	🏄🏽‍♀️	🏄🏽‍♀️	🏄🏽 ♀	woman surfing: medium skin tone
1011	U+1F3C4 U+1F3FE U+200D U+2640 U+FE0F	🏄🏾‍♀️	🏄🏾‍♀️	🏄🏾 ♀	woman surfing: medium-dark skin tone
1012	U+1F3C4 U+1F3FF U+200D U+2640 U+FE0F	🏄🏿‍♀️	🏄🏿‍♀️	🏄🏿 ♀	woman surfing: dark skin tone
1013	U+1F6A3 U+200D U+2642 U+FE0F	🚣‍♂️	🚣‍♂️	🚣 ♂	man rowing boat
1014	U+1F6A3 U+1F3FB U+200D U+2642 U+FE0F	🚣🏻‍♂️	🚣🏻‍♂️	🚣🏻 ♂	man rowing boat: light skin tone
1015	U+1F6A3 U+1F3FC U+200D U+2642 U+FE0F	🚣🏼‍♂️	🚣🏼‍♂️	🚣🏼 ♂	man rowing boat: medium-light skin tone
1016	U+1F6A3 U+1F3FD U+200D U+2642 U+FE0F	🚣🏽‍♂️	🚣🏽‍♂️	🚣🏽 ♂	man rowing boat: medium skin tone
1017	U+1F6A3 U+1F3FE U+200D U+2642 U+FE0F	🚣🏾‍♂️	🚣🏾‍♂️	🚣🏾 ♂	man rowing boat: medium-dark skin tone
1018	U+1F6A3 U+1F3FF U+200D U+2642 U+FE0F	🚣🏿‍♂️	🚣🏿‍♂️	🚣🏿 ♂	man rowing boat: dark skin tone
1019	U+1F6A3 U+200D U+2640 U+FE0F	🚣‍♀️	🚣‍♀️	🚣 ♀	woman rowing boat
1020	U+1F6A3 U+1F3FB U+200D U+2640 U+FE0F	🚣🏻‍♀️	🚣🏻‍♀️	🚣🏻 ♀	woman rowing boat: light skin tone
1021	U+1F6A3 U+1F3FC U+200D U+2640 U+FE0F	🚣🏼‍♀️	🚣🏼‍♀️	🚣🏼 ♀	woman rowing boat: medium-light skin tone
1022	U+1F6A3 U+1F3FD U+200D U+2640 U+FE0F	🚣🏽‍♀️	🚣🏽‍♀️	🚣🏽 ♀	woman rowing boat: medium skin tone
1023	U+1F6A3 U+1F3FE U+200D U+2640 U+FE0F	🚣🏾‍♀️	🚣🏾‍♀️	🚣🏾 ♀	woman rowing boat: medium-dark skin tone
1024	U+1F6A3 U+1F3FF U+200D U+2640 U+FE0F	🚣🏿‍♀️	🚣🏿‍♀️	🚣🏿 ♀	woman rowing boat: dark skin tone
1025	U+1F3CA U+200D U+2642 U+FE0F	🏊‍♂️	🏊‍♂️	🏊 ♂	man swimming
1026	U+1F3CA U+1F3FB U+200D U+2642 U+FE0F	🏊🏻‍♂️	🏊🏻‍♂️	🏊🏻 ♂	man swimming: light skin tone
1027	U+1F3CA U+1F3FC U+200D U+2642 U+FE0F	🏊🏼‍♂️	🏊🏼‍♂️	🏊🏼 ♂	man swimming: medium-light skin tone
1028	U+1F3CA U+1F3FD U+200D U+2642 U+FE0F	🏊🏽‍♂️	🏊🏽‍♂️	🏊🏽 ♂	man swimming: medium skin tone
1029	U+1F3CA U+1F3FE U+200D U+2642 U+FE0F	🏊🏾‍♂️	🏊🏾‍♂️	🏊🏾 ♂	man swimming: medium-dark skin tone
1030	U+1F3CA U+1F3FF U+200D U+2642 U+FE0F	🏊🏿‍♂️	🏊🏿‍♂️	🏊🏿 ♂	man swimming: dark skin tone
1031	U+1F3CA U+200D U+2640 U+FE0F	🏊‍♀️	🏊‍♀️	🏊 ♀	woman swimming
1032	U+1F3CA U+1F3FB U+200D U+2640 U+FE0F	🏊🏻‍♀️	🏊🏻‍♀️	🏊🏻 ♀	woman swimming: light skin tone
1033	U+1F3CA U+1F3FC U+200D U+2640 U+FE0F	🏊🏼‍♀️	🏊🏼‍♀️	🏊🏼 ♀	woman swimming: medium-light skin tone
1034	U+1F3CA U+1F3FD U+200D U+2640 U+FE0F	🏊🏽‍♀️	🏊🏽‍♀️	🏊🏽 ♀	woman swimming: medium skin tone
1035	U+1F3CA U+1F3FE U+200D U+2640 U+FE0F	🏊🏾‍♀️	🏊🏾‍♀️	🏊🏾 ♀	woman swimming: medium-dark skin tone
1036	U+1F3CA U+1F3FF U+200D U+2640 U+FE0F	🏊🏿‍♀️	🏊🏿‍♀️	🏊🏿 ♀	woman swimming: dark skin tone
1037	U+26F9 U+FE0F U+200D U+2642 U+FE0F	⛹️‍♂️	⛹️‍♂️	⛹ ♂	man bouncing ball
