№	Code	Browser	Sample	Sample Fallback	CLDR Short Name
108	U+1F9D1 U+1F3FB U+200D U+1F9B2	🧑🏻‍🦲	🧑🏻‍🦲	🧑🏻 🦲	person: light skin tone, bald
109	U+1F9D1 U+1F3FC U+200D U+1F9B2	🧑🏼‍🦲	🧑🏼‍🦲	🧑🏼 🦲	person: medium-light skin tone, bald
110	U+1F9D1 U+1F3FD U+200D U+1F9B2	🧑🏽‍🦲	🧑🏽‍🦲	🧑🏽 🦲	person: medium skin tone, bald
111	U+1F9D1 U+1F3FE U+200D U+1F9B2	🧑🏾‍🦲	🧑🏾‍🦲	🧑🏾 🦲	person: medium-dark skin tone, bald
112	U+1F9D1 U+1F3FF U+200D U+1F9B2	🧑🏿‍🦲	🧑🏿‍🦲	🧑🏿 🦲	person: dark skin tone, bald
113	U+1F471 U+200D U+2640 U+FE0F	👱‍♀️	👱‍♀️	👱 ♀	woman: blond hair
114	U+1F471 U+1F3FB U+200D U+2640 U+FE0F	👱🏻‍♀️	👱🏻‍♀️	👱🏻 ♀	woman: light skin tone, blond hair
115	U+1F471 U+1F3FC U+200D U+2640 U+FE0F	👱🏼‍♀️	👱🏼‍♀️	👱🏼 ♀	woman: medium-light skin tone, blond hair
116	U+1F471 U+1F3FD U+200D U+2640 U+FE0F	👱🏽‍♀️	👱🏽‍♀️	👱🏽 ♀	woman: medium skin tone, blond hair
117	U+1F471 U+1F3FE U+200D U+2640 U+FE0F	👱🏾‍♀️	👱🏾‍♀️	👱🏾 ♀	woman: medium-dark skin tone, blond hair
118	U+1F471 U+1F3FF U+200D U+2640 U+FE0F	👱🏿‍♀️	👱🏿‍♀️	👱🏿 ♀	woman: dark skin tone, blond hair
119	U+1F471 U+200D U+2642 U+FE0F	👱‍♂️	👱‍♂️	👱 ♂	man: blond hair
120	U+1F471 U+1F3FB U+200D U+2642 U+FE0F	👱🏻‍♂️	👱🏻‍♂️	👱🏻 ♂	man: light skin tone, blond hair
121	U+1F471 U+1F3FC U+200D U+2642 U+FE0F	👱🏼‍♂️	👱🏼‍♂️	👱🏼 ♂	man: medium-light skin tone, blond hair
122	U+1F471 U+1F3FD U+200D U+2642 U+FE0F	👱🏽‍♂️	👱🏽‍♂️	👱🏽 ♂	man: medium skin tone, blond hair
123	U+1F471 U+1F3FE U+200D U+2642 U+FE0F	👱🏾‍♂️	👱🏾‍♂️	👱🏾 ♂	man: medium-dark skin tone, blond hair
124	U+1F471 U+1F3FF U+200D U+2642 U+FE0F	👱🏿‍♂️	👱🏿‍♂️	👱🏿 ♂	man: dark skin tone, blond hair
125	U+1F64D U+200D U+2642 U+FE0F	🙍‍♂️	🙍‍♂️	🙍 ♂	man frowning
126	U+1F64D U+1F3FB U+200D U+2642 U+FE0F	🙍🏻‍♂️	🙍🏻‍♂️	🙍🏻 ♂	man frowning: light skin tone
127	U+1F64D U+1F3FC U+200D U+2642 U+FE0F	🙍🏼‍♂️	🙍🏼‍♂️	🙍🏼 ♂	man frowning: medium-light skin tone
128	U+1F64D U+1F3FD U+200D U+2642 U+FE0F	🙍🏽‍♂️	🙍🏽‍♂️	🙍🏽 ♂	man frowning: medium skin tone
129	U+1F64D U+1F3FE U+200D U+2642 U+FE0F	🙍🏾‍♂️	🙍🏾‍♂️	🙍🏾 ♂	man frowning: medium-dark skin tone
130	U+1F64D U+1F3FF U+200D U+2642 U+FE0F	🙍🏿‍♂️	🙍🏿‍♂️	🙍🏿 ♂	man frowning: dark skin tone
131	U+1F64D U+200D U+2640 U+FE0F	🙍‍♀️	🙍‍♀️	🙍 ♀	woman frowning
132	U+1F64D U+1F3FB U+200D U+2640 U+FE0F	🙍🏻‍♀️	🙍🏻‍♀️	🙍🏻 ♀	woman frowning: light skin tone
133	U+1F64D U+1F3FC U+200D U+2640 U+FE0F	🙍🏼‍♀️	🙍🏼‍♀️	🙍🏼 ♀	woman frowning: medium-light skin tone
134	U+1F64D U+1F3FD U+200D U+2640 U+FE0F	🙍🏽‍♀️	🙍🏽‍♀️	🙍🏽 ♀	woman frowning: medium skin tone
135	U+1F64D U+1F3FE U+200D U+2640 U+FE0F	🙍🏾‍♀️	🙍🏾‍♀️	🙍🏾 ♀	woman frowning: medium-dark skin tone
136	U+1F64D U+1F3FF U+200D U+2640 U+FE0F	🙍🏿‍♀️	🙍🏿‍♀️	🙍🏿 ♀	woman frowning: dark skin tone
137	U+1F64E U+200D U+2642 U+FE0F	🙎‍♂️	🙎‍♂️	🙎 ♂	man pouting
138	U+1F64E U+1F3FB U+200D U+2642 U+FE0F	🙎🏻‍♂️	🙎🏻‍♂️	🙎🏻 ♂	man pouting: light skin tone
139	U+1F64E U+1F3FC U+200D U+2642 U+FE0F	🙎🏼‍♂️	🙎🏼‍♂️	🙎🏼 ♂	man pouting: medium-light skin tone
140	U+1F64E U+1F3FD U+200D U+2642 U+FE0F	🙎🏽‍♂️	🙎🏽‍♂️	🙎🏽 ♂	man pouting: medium skin tone
141	U+1F64E U+1F3FE U+200D U+2642 U+FE0F	🙎🏾‍♂️	🙎🏾‍♂️	🙎🏾 ♂	man pouting: medium-dark skin tone
142	U+1F64E U+1F3FF U+200D U+2642 U+FE0F	🙎🏿‍♂️	🙎🏿‍♂️	🙎🏿 ♂	man pouting: dark skin tone
143	U+1F64E U+200D U+2640 U+FE0F	🙎‍♀️	🙎‍♀️	🙎 ♀	woman pouting
144	U+1F64E U+1F3FB U+200D U+2640 U+FE0F	🙎🏻‍♀️	🙎🏻‍♀️	🙎🏻 ♀	woman pouting: light skin tone
145	U+1F64E U+1F3FC U+200D U+2640 U+FE0F	🙎🏼‍♀️	🙎🏼‍♀️	🙎🏼 ♀	woman pouting: medium-light skin tone
146	U+1F64E U+1F3FD U+200D U+2640 U+FE0F	🙎🏽‍♀️	🙎🏽‍♀️	🙎🏽 ♀	woman pouting: medium skin tone
147	U+1F64E U+1F3FE U+200D U+2640 U+FE0F	🙎🏾‍♀️	🙎🏾‍♀️	🙎🏾 ♀	woman pouting: medium-dark skin tone
148	U+1F64E U+1F3FF U+200D U+2640 U+FE0F	🙎🏿‍♀️	🙎🏿‍♀️	🙎🏿 ♀	woman pouting: dark skin tone
149	U+1F645 U+200D U+2642 U+FE0F	🙅‍♂️	🙅‍♂️	🙅 ♂	man gesturing NO
150	U+1F645 U+1F3FB U+200D U+2642 U+FE0F	🙅🏻‍♂️	🙅🏻‍♂️	🙅🏻 ♂	man gesturing NO: light skin tone
151	U+1F645 U+1F3FC U+200D U+2642 U+FE0F	🙅🏼‍♂️	🙅🏼‍♂️	🙅🏼 ♂	man gesturing NO: medium-light skin tone
152	U+1F645 U+1F3FD U+200D U+2642 U+FE0F	🙅🏽‍♂️	🙅🏽‍♂️	🙅🏽 ♂	man gesturing NO: medium skin tone
153	U+1F645 U+1F3FE U+200D U+2642 U+FE0F	🙅🏾‍♂️	🙅🏾‍♂️	🙅🏾 ♂	man gesturing NO: medium-dark skin tone
154	U+1F645 U+1F3FF U+200D U+2642 U+FE0F	🙅🏿‍♂️	🙅🏿‍♂️	🙅🏿 ♂	man gesturing NO: dark skin tone
155	U+1F645 U+200D U+2640 U+FE0F	🙅‍♀️	🙅‍♀️	🙅 ♀	woman gesturing NO
156	U+1F645 U+1F3FB U+200D U+2640 U+FE0F	🙅🏻‍♀️	🙅🏻‍♀️	🙅🏻 ♀	woman gesturing NO: light skin tone
157	U+1F645 U+1F3FC U+200D U+2640 U+FE0F	🙅🏼‍♀️	🙅🏼‍♀️	🙅🏼 ♀	woman gesturing NO: medium-light skin tone
158	U+1F645 U+1F3FD U+200D U+2640 U+FE0F	🙅🏽‍♀️	🙅🏽‍♀️	🙅🏽 ♀	woman gesturing NO: medium skin tone
159	U+1F645 U+1F3FE U+200D U+2640 U+FE0F	🙅🏾‍♀️	🙅🏾‍♀️	🙅🏾 ♀	woman gesturing NO: medium-dark skin tone
160	U+1F645 U+1F3FF U+200D U+2640 U+FE0F	🙅🏿‍♀️	🙅🏿‍♀️	🙅🏿 ♀	woman gesturing NO: dark skin tone
161	U+1F646 U+200D U+2642 U+FE0F	🙆‍♂️	🙆‍♂️	🙆 ♂	man gesturing OK
162	U+1F646 U+1F3FB U+200D U+2642 U+FE0F	🙆🏻‍♂️	🙆🏻‍♂️	🙆🏻 ♂	man gesturing OK: light skin tone
163	U+1F646 U+1F3FC U+200D U+2642 U+FE0F	🙆🏼‍♂️	🙆🏼‍♂️	🙆🏼 ♂	man gesturing OK: medium-light skin tone
164	U+1F646 U+1F3FD U+200D U+2642 U+FE0F	🙆🏽‍♂️	🙆🏽‍♂️	🙆🏽 ♂	man gesturing OK: medium skin tone
165	U+1F646 U+1F3FE U+200D U+2642 U+FE0F	🙆🏾‍♂️	🙆🏾‍♂️	🙆🏾 ♂	man gesturing OK: medium-dark skin tone
166	U+1F646 U+1F3FF U+200D U+2642 U+FE0F	🙆🏿‍♂️	🙆🏿‍♂️	🙆🏿 ♂	man gesturing OK: dark skin tone
167	U+1F646 U+200D U+2640 U+FE0F	🙆‍♀️	🙆‍♀️	🙆 ♀	woman gesturing OK
